Descr. 1,Descr. 2,Comune,Provincia,Tipologia punto vendita,P.Iva,Email punto vendita,Agente,Link modulo precompilato
Naturalmente S.r.l.,,Padova,PD,Erboristeria,04130490289,info@erboristerianaturalmente.net,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Naturalmente%20S.r.l.&r26540616401e4f999c44de10ddc004ee=Padova&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=04130490289&r1addcad129b44b3cb2220834a33335d5=info%40erboristerianaturalmente.net&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Mente E Natura S.n.c. (Padova - Via Tizi,"ano Aspetti, 44)",Montegrotto Terme,PD,Erboristeria,04855530285,info@menteenatura.com,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Mente%20E%20Natura%20S.n.c.%20%28Padova%20-%20Via%20Tizi&rc51bef4dd505413ebc19b4d510a3365a=ano%20Aspetti%2C%2044%29&r26540616401e4f999c44de10ddc004ee=Montegrotto%20Terme&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=04855530285&r1addcad129b44b3cb2220834a33335d5=info%40menteenatura.com&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Farmacia Pizzoletta di Mori Erika e Mara,bese Giulia S.n.c.,Villafranca di Verona,VR,Farmacia,04663110239,farmacia.pizzoletta@gmail.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Pizzoletta%20di%20Mori%20Erika%20e%20Mara&rc51bef4dd505413ebc19b4d510a3365a=bese%20Giulia%20S.n.c.&r26540616401e4f999c44de10ddc004ee=Villafranca%20di%20Verona&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04663110239&r1addcad129b44b3cb2220834a33335d5=farmacia.pizzoletta%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Bottega Del Naturale Di Cenghialta Alber,to,Lonigo,VI,Erboristeria,02219500242,bottegadelnaturale@gmail.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Bottega%20Del%20Naturale%20Di%20Cenghialta%20Alber&rc51bef4dd505413ebc19b4d510a3365a=to&r26540616401e4f999c44de10ddc004ee=Lonigo&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=02219500242&r1addcad129b44b3cb2220834a33335d5=bottegadelnaturale%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Erboristeria Arcobaleno Di Gentilin Mari,a Cristina,Schio,VI,Erboristeria,03483660241,info@erboristeriarcobaleno.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Arcobaleno%20Di%20Gentilin%20Mari&rc51bef4dd505413ebc19b4d510a3365a=a%20Cristina&r26540616401e4f999c44de10ddc004ee=Schio&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03483660241&r1addcad129b44b3cb2220834a33335d5=info%40erboristeriarcobaleno.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
L'Alchimista Di Dott.ssa Trombetta,ella,Vicenza,VI,Parafarmacia,03440830242,info@alchimistaparafarmacia.it,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=L%27Alchimista%20Di%20Dott.ssa%20Trombetta&rc51bef4dd505413ebc19b4d510a3365a=ella&r26540616401e4f999c44de10ddc004ee=Vicenza&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03440830242&r1addcad129b44b3cb2220834a33335d5=info%40alchimistaparafarmacia.it&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
L'Erboristeria Di Loredana Dal Maso,,Brendola,VI,Erboristeria,02670990247,,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=L%27Erboristeria%20Di%20Loredana%20Dal%20Maso&r26540616401e4f999c44de10ddc004ee=Brendola&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=02670990247&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Parafarmacia Olmo S.r.l. Semplificata,,Sossano,VI,Parafarmacia,03909950242,olmo.parafarmacia@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Parafarmacia%20Olmo%20S.r.l.%20Semplificata&r26540616401e4f999c44de10ddc004ee=Sossano&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=03909950242&r1addcad129b44b3cb2220834a33335d5=olmo.parafarmacia%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Ciato S.a.s. del Dott. Sebastia,no Ciato,Padova,PD,Farmacia,04096020278,info@farmaciaciato.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Ciato%20S.a.s.%20del%20Dott.%20Sebastia&rc51bef4dd505413ebc19b4d510a3365a=no%20Ciato&r26540616401e4f999c44de10ddc004ee=Padova&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04096020278&r1addcad129b44b3cb2220834a33335d5=info%40farmaciaciato.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Biosapori S.r.l. (Via Quadri VI),,Cassola,VI,Erboristeria,03095390245,contabilita@biosapori.com,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Biosapori%20S.r.l.%20%28Via%20Quadri%20VI%29&r26540616401e4f999c44de10ddc004ee=Cassola&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03095390245&r1addcad129b44b3cb2220834a33335d5=contabilita%40biosapori.com&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Sanitaria Ortopedia Campo Romano Srl,,Schio,VI,Sanitaria Ortopedia,03549780249,info@sanitariacamporomano.com,Lucca Paolo,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Sanitaria%20Ortopedia%20Campo%20Romano%20Srl&r26540616401e4f999c44de10ddc004ee=Schio&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Sanitaria%20Ortopedia&rc51aa2d7137f43a08b841f5ff85ce8c3=03549780249&r1addcad129b44b3cb2220834a33335d5=info%40sanitariacamporomano.com&r59bc1e759dc143c48cba2b322870aea3=Lucca%20Paolo
Erboristeria Iris S.a.s. Di Allegro Anna, & C.,Montegrotto Terme,PD,Erboristeria,03443840289,info@iriserboristeria.it,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Iris%20S.a.s.%20Di%20Allegro%20Anna&rc51bef4dd505413ebc19b4d510a3365a=%26%20C.&r26540616401e4f999c44de10ddc004ee=Montegrotto%20Terme&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03443840289&r1addcad129b44b3cb2220834a33335d5=info%40iriserboristeria.it&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
L'Erboristeria Di Grandis Patrizia,,San Martino Buon Albergo,VR,Erboristeria,03767640232,patrizia.dolores@hotmail.it,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=L%27Erboristeria%20Di%20Grandis%20Patrizia&r26540616401e4f999c44de10ddc004ee=San%20Martino%20Buon%20Albergo&r8df9a2a8446640338ce40a1c53c513d7=VR&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03767640232&r1addcad129b44b3cb2220834a33335d5=patrizia.dolores%40hotmail.it&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
Sanitaria Schizzerotto Di Schizzerotto N,icoletta,Schio,VI,Sanitaria Ortopedia,02239950245,n.schizzerotto@libero.it,Turco Tiziano,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Sanitaria%20Schizzerotto%20Di%20Schizzerotto%20N&rc51bef4dd505413ebc19b4d510a3365a=icoletta&r26540616401e4f999c44de10ddc004ee=Schio&r8df9a2a8446640338ce40a1c53c513d7=VI&rbafce5adc91849a2a8e7921033a3f0d3=Sanitaria%20Ortopedia&rc51aa2d7137f43a08b841f5ff85ce8c3=02239950245&r1addcad129b44b3cb2220834a33335d5=n.schizzerotto%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Turco%20Tiziano
La Malva di Nettuno Giuseppina,,Arco,TN,Erboristeria,02177920226,info@lamalva.it,INNERBICHLER IVO,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=La%20Malva%20di%20Nettuno%20Giuseppina&r26540616401e4f999c44de10ddc004ee=Arco&r8df9a2a8446640338ce40a1c53c513d7=TN&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=02177920226&r1addcad129b44b3cb2220834a33335d5=info%40lamalva.it&r59bc1e759dc143c48cba2b322870aea3=INNERBICHLER%20IVO
Erboristeria Alla Salute Di Dengo Vania,,Borgoricco,PD,Erboristeria,03757600287,erboristeriaallasalute@gmail.com,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Erboristeria%20Alla%20Salute%20Di%20Dengo%20Vania&r26540616401e4f999c44de10ddc004ee=Borgoricco&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03757600287&r1addcad129b44b3cb2220834a33335d5=erboristeriaallasalute%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Farmacia San Michele,Di Tonon Davide,San Michele All'Adige,TN,Farmacia,02331550224,davidetonon25@hotmail.com,INNERBICHLER IVO,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20San%20Michele&rc51bef4dd505413ebc19b4d510a3365a=Di%20Tonon%20Davide&r26540616401e4f999c44de10ddc004ee=San%20Michele%20All%27Adige&r8df9a2a8446640338ce40a1c53c513d7=TN&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=02331550224&r1addcad129b44b3cb2220834a33335d5=davidetonon25%40hotmail.com&r59bc1e759dc143c48cba2b322870aea3=INNERBICHLER%20IVO
Parafarmacia Linea Verde di Carlo Dott.,Tiengo,Masera,PD,Parafarmacia,04373710286,,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Parafarmacia%20Linea%20Verde%20di%20Carlo%20Dott.&rc51bef4dd505413ebc19b4d510a3365a=Tiengo&r26540616401e4f999c44de10ddc004ee=Masera&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Parafarmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04373710286&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Il Naturista Di Antonini Patrizia,,Porto Viro,RO,Erboristeria,00933690299,patrizia.antonini62@gmail.com,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Il%20Naturista%20Di%20Antonini%20Patrizia&r26540616401e4f999c44de10ddc004ee=Porto%20Viro&r8df9a2a8446640338ce40a1c53c513d7=RO&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=00933690299&r1addcad129b44b3cb2220834a33335d5=patrizia.antonini62%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
Farmacia Donati S.n.c. Di Donati Giulio,e Francesco,Megliadino San Fidenzio,PD,Farmacia,04945310284,farmacia.donati@gmail.com,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Donati%20S.n.c.%20Di%20Donati%20Giulio&rc51bef4dd505413ebc19b4d510a3365a=e%20Francesco&r26540616401e4f999c44de10ddc004ee=Megliadino%20San%20Fidenzio&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04945310284&r1addcad129b44b3cb2220834a33335d5=farmacia.donati%40gmail.com&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
Farmacia Zanon Dott.ssa Giorgia,,Villa Del Conte,PD,Farmacia,04102020288,farmacia.zanon@libero.it,Iubatti Antonio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=Farmacia%20Zanon%20Dott.ssa%20Giorgia&r26540616401e4f999c44de10ddc004ee=Villa%20Del%20Conte&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Farmacia&rc51aa2d7137f43a08b841f5ff85ce8c3=04102020288&r1addcad129b44b3cb2220834a33335d5=farmacia.zanon%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Iubatti%20Antonio
L'Alchimista Di Mazzucco Marino,,Massanzago,PD,Erboristeria,03437570280,alchimista.md@libero.it,Giacomin Maurizio,https://forms.office.com/Pages/ResponsePage.aspx?id=nKtCoyvbA0i4vGbx7zHXWHvai3XR44xKmD6FRWRkL9pUODc4UVZES1g2SFpFMzdRSEhKNkVER0czQyQlQCN0PWcu&r444f7f325e7f494884a64210762d71cf=L%27Alchimista%20Di%20Mazzucco%20Marino&r26540616401e4f999c44de10ddc004ee=Massanzago&r8df9a2a8446640338ce40a1c53c513d7=PD&rbafce5adc91849a2a8e7921033a3f0d3=Erboristeria&rc51aa2d7137f43a08b841f5ff85ce8c3=03437570280&r1addcad129b44b3cb2220834a33335d5=alchimista.md%40libero.it&r59bc1e759dc143c48cba2b322870aea3=Giacomin%20Maurizio
